estimation_method,fit_method,est_errors,row,col,time_impute,time_fit,size
usvt,lbo,0.5932404573763383,23,21,5.197043370718908e-05,0,32
usvt,lbo,0.7426979057513732,16,18,5.197043370718908e-05,0,32
usvt,lbo,0.6801078121780513,30,11,5.197043370718908e-05,0,32
usvt,lbo,0.5153579477807795,2,10,5.197043370718908e-05,0,32
usvt,lbo,0.4221343712174067,30,17,5.197043370718908e-05,0,32
usvt,lbo,0.24014108463346628,26,5,5.197043370718908e-05,0,32
usvt,lbo,0.3826098383116463,21,7,5.197043370718908e-05,0,32
usvt,lbo,0.6670816158426894,28,21,5.197043370718908e-05,0,32
usvt,lbo,0.5135389009371039,29,16,5.197043370718908e-05,0,32
usvt,lbo,0.49450448098821354,25,28,5.197043370718908e-05,0,32
usvt,lbo,0.6657126533681405,20,12,5.197043370718908e-05,0,32
usvt,lbo,0.9035962866561424,26,13,5.197043370718908e-05,0,32
usvt,lbo,0.29286983127941296,29,22,5.197043370718908e-05,0,32
usvt,lbo,0.8751675111726387,3,2,5.197043370718908e-05,0,32
usvt,lbo,0.5892884193386216,24,21,5.197043370718908e-05,0,32
usvt,lbo,0.6664513194834782,29,26,5.197043370718908e-05,0,32
usvt,lbo,0.6988989191484556,4,10,5.197043370718908e-05,0,32
usvt,lbo,0.7958362123268858,7,26,5.197043370718908e-05,0,32
usvt,lbo,0.7815480203071388,9,7,5.197043370718908e-05,0,32
usvt,lbo,0.6650888294198548,23,31,5.197043370718908e-05,0,32
usvt,lbo,0.6617909592019631,2,22,5.197043370718908e-05,0,32
usvt,lbo,0.7667258537370482,22,28,5.197043370718908e-05,0,32
usvt,lbo,0.4933857352304829,8,1,5.197043370718908e-05,0,32
usvt,lbo,0.7250351646600209,4,20,5.197043370718908e-05,0,32
usvt,lbo,0.6041971463069342,18,19,5.197043370718908e-05,0,32
usvt,lbo,0.5284474942556215,16,23,5.197043370718908e-05,0,32
usvt,lbo,0.5335662306005022,14,18,5.197043370718908e-05,0,32
usvt,lbo,0.18156431393339217,28,20,5.197043370718908e-05,0,32
usvt,lbo,0.5429176560139911,18,31,5.197043370718908e-05,0,32
usvt,lbo,0.761547536353161,31,21,5.197043370718908e-05,0,32
usvt,lbo,0.46947622644887954,26,26,5.197043370718908e-05,0,32
usvt,lbo,0.6170438653660456,19,30,5.197043370718908e-05,0,32
usvt,lbo,0.9069907153024448,26,1,5.197043370718908e-05,0,32
usvt,lbo,0.5617202140908197,7,3,5.197043370718908e-05,0,32
usvt,lbo,0.6844831242223779,31,1,5.197043370718908e-05,0,32
usvt,lbo,0.8719278518642499,6,27,5.197043370718908e-05,0,32
usvt,lbo,0.9141087214632384,6,8,5.197043370718908e-05,0,32
usvt,lbo,0.6662849788206989,30,28,5.197043370718908e-05,0,32
usvt,lbo,0.7385698817851478,12,15,5.197043370718908e-05,0,32
usvt,lbo,0.5838742395032246,2,11,5.197043370718908e-05,0,32
usvt,lbo,0.7318723513424765,24,27,5.197043370718908e-05,0,32
usvt,lbo,1.0833071179768905,30,20,5.197043370718908e-05,0,32
usvt,lbo,0.5007782029293105,27,3,5.197043370718908e-05,0,32
usvt,lbo,0.5232186793648856,22,11,5.197043370718908e-05,0,32
usvt,lbo,0.33050571025581144,7,15,5.197043370718908e-05,0,32
usvt,lbo,0.40032757722758927,13,1,5.197043370718908e-05,0,32
usvt,lbo,0.49576410764829076,28,26,5.197043370718908e-05,0,32
usvt,lbo,0.8967620738846882,22,1,5.197043370718908e-05,0,32
usvt,lbo,0.5667503258545118,21,28,5.197043370718908e-05,0,32
usvt,lbo,0.35067479095628384,8,18,5.197043370718908e-05,0,32
usvt,lbo,0.72296234254852,8,24,5.197043370718908e-05,0,32
usvt,lbo,0.7843362438505989,18,6,5.197043370718908e-05,0,32
usvt,lbo,0.9324771431933716,29,21,5.197043370718908e-05,0,32
usvt,lbo,0.5232789974545251,29,20,5.197043370718908e-05,0,32
usvt,lbo,0.681299922561795,7,5,5.197043370718908e-05,0,32
